init_time,track_id,sample,lead_time_hours,lat,lon,minimum_sea_level_pressure_hpa,maximum_sustained_wind_speed_knots
2026-05-14 18:00:00,70W,26,84,7.6000000000000005,145.1,1006.0,21.965392
2026-05-14 18:00:00,70W,26,96,8.3,143.4,1006.0,20.993472
2026-05-14 18:00:00,70W,26,114,9.9,141.5,1009.0,20.021552
2026-05-14 18:00:00,70W,26,120,10.700000000000001,139.8,1007.0,21.965392
2026-05-14 18:00:00,70W,26,126,11.3,138.70000000000002,1009.0,20.993472
2026-05-14 18:00:00,70W,26,132,12.1,137.4,1007.0,20.021552
2026-05-14 18:00:00,70W,26,138,11.9,136.2,1009.0,20.021552
2026-05-14 18:00:00,70W,26,144,12.3,135.7,1007.0,20.993472
2026-05-14 18:00:00,70W,27,0,22.1,139.9,1007.0,26.047456
2026-05-14 18:00:00,70W,27,6,22.8,141.70000000000002,1006.0,25.075536
2026-05-14 18:00:00,70W,27,18,24.7,144.20000000000002,1009.0,25.075536
2026-05-14 18:00:00,70W,29,6,5.9,179.5,1008.0,22.937312000000002
2026-05-14 18:00:00,70W,29,24,4.2,175.5,1007.0,18.077712000000002
2026-05-14 18:00:00,70W,29,36,4.1,175.0,1007.0,20.993472
2026-05-14 18:00:00,70W,29,48,3.4,172.8,1006.0,21.965392
2026-05-14 18:00:00,70W,29,60,2.9,170.20000000000002,1006.0,14.967568
2026-05-14 18:00:00,70W,30,78,9.200000000000001,141.1,1008.0,25.075536
2026-05-14 18:00:00,70W,30,96,10.0,138.8,1006.0,21.965392
2026-05-14 18:00:00,70W,30,102,9.3,137.9,1009.0,26.047456
2026-05-14 18:00:00,70W,30,108,9.5,136.5,1006.0,21.965392
2026-05-14 18:00:00,70W,30,120,8.8,135.2,1006.0,20.993472
2026-05-14 18:00:00,70W,30,132,9.6,133.2,1006.0,29.935136
2026-05-14 18:00:00,70W,30,138,10.3,132.6,1008.0,29.935136
2026-05-14 18:00:00,70W,30,144,10.8,131.7,1006.0,28.963216
2026-05-14 18:00:00,70W,31,24,19.7,111.60000000000001,1005.0,20.021552
2026-05-14 18:00:00,70W,31,30,19.7,112.2,1007.0,26.047456
2026-05-14 18:00:00,70W,34,6,9.1,154.4,1009.0,28.963216
2026-05-14 18:00:00,70W,34,18,8.8,149.8,1008.0,22.937312000000002
2026-05-14 18:00:00,70W,35,0,21.2,140.4,1008.0,26.047456
2026-05-14 18:00:00,70W,35,6,22.8,141.70000000000002,1009.0,26.047456
2026-05-14 18:00:00,70W,36,0,7.2,151.1,1006.0,21.965392
2026-05-14 18:00:00,70W,36,6,6.3,149.4,1008.0,20.993472
2026-05-14 18:00:00,70W,37,6,22.900000000000002,142.5,1008.0,27.019376
2026-05-14 18:00:00,70W,37,18,25.6,145.1,1008.0,29.935136
2026-05-14 18:00:00,70W,37,24,27.2,146.4,1001.0,41.015024000000004
2026-05-14 18:00:00,70W,37,30,29.0,147.3,1007.0,41.015024000000004
2026-05-14 18:00:00,70W,38,0,7.1000000000000005,149.20000000000002,1007.0,22.937312000000002
2026-05-14 18:00:00,70W,38,6,5.5,147.20000000000002,1009.0,19.049632000000003
2026-05-14 18:00:00,70W,38,30,7.1000000000000005,146.6,1007.0,27.019376
2026-05-14 18:00:00,70W,38,48,5.4,145.4,1006.0,21.965392
2026-05-14 18:00:00,70W,38,60,6.0,142.6,1005.0,18.077712000000002
2026-05-14 18:00:00,70W,38,84,7.1000000000000005,144.1,1005.0,20.021552
2026-05-14 18:00:00,70W,38,102,8.1,142.1,1008.0,23.909232000000003
2026-05-14 18:00:00,70W,38,108,8.8,140.8,1005.0,20.993472
2026-05-14 18:00:00,70W,38,114,9.3,140.9,1008.0,20.993472
2026-05-14 18:00:00,70W,38,126,8.8,139.20000000000002,1008.0,22.937312000000002
2026-05-14 18:00:00,70W,38,138,9.8,137.9,1008.0,25.075536
2026-05-14 18:00:00,70W,38,144,11.6,136.4,1006.0,25.075536
2026-05-14 18:00:00,70W,39,6,8.6,160.70000000000002,1009.0,22.937312000000002
2026-05-14 18:00:00,70W,39,12,8.6,159.1,1007.0,25.075536
2026-05-14 18:00:00,70W,39,18,8.5,157.4,1007.0,27.991296000000002
2026-05-14 18:00:00,70W,39,24,8.3,155.70000000000002,1004.0,27.019376
2026-05-14 18:00:00,70W,39,30,8.0,154.4,1008.0,26.047456
2026-05-14 18:00:00,70W,39,36,7.6000000000000005,153.4,1004.0,27.991296000000002
2026-05-14 18:00:00,70W,39,42,7.6000000000000005,152.20000000000002,1007.0,27.019376
2026-05-14 18:00:00,70W,39,48,8.1,151.1,1004.0,23.909232000000003
2026-05-14 18:00:00,70W,39,54,8.1,150.3,1006.0,25.075536
2026-05-14 18:00:00,70W,39,60,8.1,149.6,1003.0,23.909232000000003
2026-05-14 18:00:00,70W,39,66,7.9,148.9,1006.0,23.909232000000003
2026-05-14 18:00:00,70W,39,72,8.1,148.4,1005.0,21.965392
2026-05-14 18:00:00,70W,39,78,8.3,148.4,1008.0,20.993472
2026-05-14 18:00:00,70W,39,84,8.4,148.0,1005.0,23.909232000000003
2026-05-14 18:00:00,70W,39,90,8.700000000000001,147.1,1007.0,26.047456
2026-05-14 18:00:00,70W,39,96,9.200000000000001,146.8,1006.0,27.019376
2026-05-14 18:00:00,70W,39,102,9.4,146.1,1008.0,27.991296000000002
2026-05-14 18:00:00,70W,39,108,9.4,145.1,1005.0,26.047456
2026-05-14 18:00:00,70W,39,114,9.6,144.20000000000002,1007.0,25.075536
2026-05-14 18:00:00,70W,39,120,9.8,143.4,1005.0,27.019376
2026-05-14 18:00:00,70W,39,126,9.6,142.5,1007.0,27.019376
2026-05-14 18:00:00,70W,39,132,9.9,141.4,1004.0,25.075536
2026-05-14 18:00:00,70W,39,138,9.9,140.6,1007.0,27.019376
2026-05-14 18:00:00,70W,39,144,10.1,139.5,1005.0,26.047456
2026-05-14 18:00:00,70W,40,0,4.9,167.6,1007.0,22.937312000000002
2026-05-14 18:00:00,70W,40,6,6.3,170.1,1007.0,23.909232000000003
2026-05-14 18:00:00,70W,40,12,8.3,169.70000000000002,1007.0,23.909232000000003
2026-05-14 18:00:00,70W,40,18,7.5,167.70000000000002,1008.0,22.937312000000002
2026-05-14 18:00:00,70W,41,6,6.5,174.5,1008.0,23.909232000000003
2026-05-14 18:00:00,70W,41,30,8.1,172.3,1008.0,23.909232000000003
2026-05-14 18:00:00,70W,41,48,7.6000000000000005,169.4,1006.0,21.965392
2026-05-14 18:00:00,70W,41,60,9.3,170.4,1006.0,25.075536
2026-05-14 18:00:00,70W,41,66,9.5,170.0,1008.0,28.963216
2026-05-14 18:00:00,70W,41,72,10.0,169.4,1006.0,26.047456
2026-05-14 18:00:00,70W,41,78,10.5,168.5,1008.0,25.075536
2026-05-14 18:00:00,70W,41,84,11.1,167.6,1006.0,23.909232000000003
2026-05-14 18:00:00,70W,41,102,11.4,164.5,1008.0,20.993472
2026-05-14 18:00:00,70W,41,120,12.1,160.3,1007.0,20.993472
2026-05-14 18:00:00,70W,42,30,8.2,153.20000000000002,1007.0,26.047456
2026-05-14 18:00:00,70W,42,36,7.6000000000000005,153.20000000000002,1005.0,29.935136
2026-05-14 18:00:00,70W,42,42,8.8,151.8,1006.0,27.991296000000002
2026-05-14 18:00:00,70W,42,48,8.8,149.4,1004.0,28.963216
2026-05-14 18:00:00,70W,42,54,8.4,147.3,1003.0,42.958864000000005
2026-05-14 18:00:00,70W,42,60,8.5,145.8,1002.0,29.935136
2026-05-14 18:00:00,70W,42,66,8.4,144.3,1004.0,28.963216
2026-05-14 18:00:00,70W,42,72,8.4,143.0,1001.0,29.935136
2026-05-14 18:00:00,70W,42,78,8.6,142.0,1002.0,34.98912
2026-05-14 18:00:00,70W,42,84,9.200000000000001,141.1,999.0,36.93296
2026-05-14 18:00:00,70W,42,90,9.700000000000001,139.70000000000002,1002.0,40.043104
2026-05-14 18:00:00,70W,42,96,10.0,138.4,999.0,39.071184
2026-05-14 18:00:00,70W,42,102,10.1,137.1,1002.0,34.98912
2026-05-14 18:00:00,70W,42,108,10.4,136.2,1000.0,33.04528
2026-05-14 18:00:00,70W,42,114,10.5,135.4,1002.0,40.043104
2026-05-14 18:00:00,70W,42,120,10.5,134.2,998.0,40.043104
2026-05-14 18:00:00,70W,42,126,10.700000000000001,133.1,1001.0,37.90488
2026-05-14 18:00:00,70W,42,132,10.700000000000001,132.2,995.0,41.015024000000004
2026-05-14 18:00:00,70W,42,138,10.9,131.4,995.0,52.094912
2026-05-14 18:00:00,70W,42,144,11.1,130.0,996.0,42.958864000000005
2026-05-14 18:00:00,70W,44,0,6.0,150.8,1007.0,20.021552
2026-05-14 18:00:00,70W,44,12,6.8,151.1,1007.0,20.993472
2026-05-14 18:00:00,70W,45,0,22.0,142.1,1003.0,34.0172
2026-05-14 18:00:00,70W,45,6,22.6,143.0,1006.0,32.07336
2026-05-14 18:00:00,70W,45,12,23.6,144.0,1005.0,29.935136
2026-05-14 18:00:00,70W,45,18,25.5,145.20000000000002,1007.0,36.93296
2026-05-14 18:00:00,70W,46,6,0.5,168.9,1008.0,20.993472
2026-05-14 18:00:00,70W,46,12,2.5,169.3,1005.0,22.937312000000002
2026-05-14 18:00:00,70W,48,0,22.3,139.9,1007.0,27.991296000000002
2026-05-14 18:00:00,70W,48,6,22.400000000000002,142.5,1009.0,26.047456
2026-05-14 18:00:00,70W,49,6,5.3,172.20000000000002,1007.0,22.937312000000002
2026-05-14 18:00:00,70W,49,12,5.3,171.5,1007.0,23.909232000000003
2026-05-14 18:00:00,70W,49,18,5.5,169.4,1009.0,18.077712000000002
2026-05-14 18:00:00,70W,50,0,4.5,177.8,1007.0,25.075536
2026-05-14 18:00:00,70W,50,12,3.9,179.3,1006.0,25.075536
2026-05-14 18:00:00,70W,50,18,5.1000000000000005,178.4,1007.0,22.937312000000002
2026-05-14 18:00:00,70W,50,24,5.7,178.1,1006.0,22.937312000000002
2026-05-14 18:00:00,70W,50,30,6.9,176.9,1007.0,27.019376
2026-05-14 18:00:00,71W,1,18,7.4,161.0,1009.0,28.963216
2026-05-14 18:00:00,71W,1,24,8.5,159.1,1006.0,29.935136
2026-05-14 18:00:00,71W,1,30,7.5,157.70000000000002,1007.0,29.935136
2026-05-14 18:00:00,71W,1,48,6.7,153.8,1005.0,26.047456
2026-05-14 18:00:00,71W,1,54,6.5,153.1,1007.0,22.937312000000002
2026-05-14 18:00:00,71W,1,60,6.7,153.3,1004.0,23.909232000000003
2026-05-14 18:00:00,71W,1,66,6.6000000000000005,152.9,1006.0,26.047456
2026-05-14 18:00:00,71W,1,72,6.2,152.3,1004.0,25.075536
2026-05-14 18:00:00,71W,1,78,6.5,152.5,1005.0,25.075536
2026-05-14 18:00:00,71W,1,84,8.1,152.0,1001.0,41.986944
2026-05-14 18:00:00,71W,1,90,8.1,151.20000000000002,1003.0,40.043104
2026-05-14 18:00:00,71W,1,96,8.1,150.8,994.0,53.066832000000005
2026-05-14 18:00:00,71W,1,102,8.6,149.6,996.0,49.95668800000001
2026-05-14 18:00:00,71W,1,108,8.6,148.8,991.0,55.010672
2026-05-14 18:00:00,71W,1,114,9.1,148.3,986.0,60.06465600000001
2026-05-14 18:00:00,71W,1,120,9.4,147.0,984.0,48.984768
2026-05-14 18:00:00,71W,1,126,9.700000000000001,145.8,986.0,49.95668800000001
2026-05-14 18:00:00,71W,1,132,9.9,144.8,986.0,53.066832000000005
2026-05-14 18:00:00,71W,1,138,10.200000000000001,143.70000000000002,988.0,48.012848000000005
2026-05-14 18:00:00,71W,1,144,10.4,142.6,985.0,52.094912
2026-05-14 18:00:00,71W,3,36,21.400000000000002,113.10000000000001,1002.0,35.96104
2026-05-14 18:00:00,71W,3,42,22.1,112.60000000000001,999.0,36.93296
2026-05-14 18:00:00,71W,3,54,21.1,112.4,1002.0,34.98912
2026-05-14 18:00:00,71W,3,60,21.8,112.2,1002.0,29.935136
2026-05-14 18:00:00,71W,3,78,21.6,112.2,1004.0,33.04528
2026-05-14 18:00:00,71W,3,90,21.400000000000002,111.4,1005.0,27.019376
2026-05-14 18:00:00,71W,3,102,23.0,113.9,1006.0,23.909232000000003
2026-05-14 18:00:00,71W,3,108,25.2,112.9,1005.0,19.049632000000003
2026-05-14 18:00:00,71W,4,6,3.6,171.70000000000002,1007.0,25.075536
2026-05-14 18:00:00,71W,4,12,2.9,170.20000000000002,1006.0,22.937312000000002
